_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,does_the_utterance_make_sense,does_the_utterance_make_sense:confidence,how_close_does_the_utterance_convey_the_same_meaning_as_the_scenario,how_close_does_the_utterance_convey_the_same_meaning_as_the_scenario:variance,how_natural_does_the_utterance_sound_in_terms_of_what_a_native_english_speaker_would_say,how_natural_does_the_utterance_sound_in_terms_of_what_a_native_english_speaker_would_say:variance,does_the_utterance_make_sense_gold,flab_bad_content,how_close_does_the_utterance_convey_the_same_meaning_as_the_scenario_gold,how_natural_does_the_utterance_sound_in_terms_of_what_a_native_english_speaker_would_say_gold,scenario,utterance
1778009081,false,finalized,5,6/22/2018 21:32:40,No,0.7946,1.4,0.49,6.0,0.632,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,donde estasn
1778009082,false,finalized,4,6/22/2018 21:28:29,No,0.5098,1.0,0.0,2.0,1.732,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,ni en eso
1778009083,false,finalized,2,6/22/2018 21:43:06,Yes,1.0,5.5,0.5,5.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i looking to move immediately 
1778009084,false,finalized,3,6/22/2018 21:43:53,Yes,1.0,4.33,1.7,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can i looking to move immediately 
1778009085,false,finalized,3,6/22/2018 21:15:57,Yes,1.0,5.0,0.0,4.33,1.7,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how i looking to move immediately 
1778009086,false,finalized,3,6/22/2018 21:35:10,Yes,1.0,2.33,1.886,3.67,1.886,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,what might you say to or ask a customer service agent in this scenario
1778009087,false,finalized,3,6/22/2018 21:52:54,Yes,1.0,2.33,1.886,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,what might you say to or ask a customer service agent in this scenario
1778009088,false,finalized,3,6/22/2018 21:43:53,Yes,1.0,2.33,1.886,5.67,0.943,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,what might you say to or ask a customer service agent in this scenario
1778009089,false,finalized,4,6/22/2018 22:02:03,No,0.7892,1.0,0.0,6.25,1.299,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,buenos dias
1778009090,false,finalized,5,6/22/2018 21:32:40,No,0.7775,1.2,0.4,6.0,0.632,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,buenos dias
1778009091,false,finalized,4,6/22/2018 21:49:53,No,0.7378,1.0,0.0,5.75,0.829,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,buenos dias
1778009092,false,finalized,2,6/22/2018 21:47:49,Yes,1.0,5.5,0.5,6.0,0.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i d like to move in the soonest possible
1778009093,false,finalized,3,6/22/2018 21:37:01,Yes,1.0,6.0,0.816,6.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i phoned the moving company and they are ready to bring in my staff
1778009094,false,finalized,4,6/22/2018 21:39:20,Yes,1.0,1.75,0.829,5.25,0.433,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need to go sign for electricity contract today 
1778009095,false,finalized,3,6/22/2018 21:26:55,Yes,1.0,5.67,0.471,5.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i want to move right away
1778009096,false,finalized,6,6/22/2018 21:37:08,Yes,1.0,4.5,1.893,6.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need to get this house as soon as possible
1778009097,false,finalized,3,6/22/2018 21:35:10,Yes,1.0,6.33,0.943,6.33,0.943,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i really need to move immediately
1778009098,false,finalized,3,6/22/2018 21:48:05,Yes,1.0,5.67,0.471,6.0,0.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need to move now
1778009099,false,finalized,3,6/22/2018 21:41:09,Yes,1.0,5.33,1.7,7.0,0.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how can i move immediately 
1778009100,false,finalized,3,6/22/2018 21:52:45,Yes,1.0,5.67,0.943,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can i move immediately 
1778009101,false,finalized,3,6/22/2018 21:54:48,Yes,1.0,1.33,0.471,6.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,when can i pay 
1778009102,false,finalized,4,6/22/2018 21:30:25,Yes,1.0,2.0,0.707,5.75,0.829,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,when we can do it
1778009103,false,finalized,3,6/22/2018 21:23:40,Yes,1.0,2.0,1.414,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how we have to pay
1778009104,false,finalized,3,6/22/2018 21:49:53,Yes,1.0,3.67,0.943,5.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,the place is free to move 
1778009105,false,finalized,3,6/22/2018 21:49:53,Yes,1.0,4.0,1.414,5.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,when can i move 
1778009106,false,finalized,3,6/22/2018 21:49:53,Yes,1.0,6.0,0.816,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i am looking for a place to move in these moments
1778009107,false,finalized,3,6/22/2018 22:05:58,Yes,1.0,5.0,0.0,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i want to move immediately can you manage 
1778009108,false,finalized,3,6/22/2018 21:49:53,Yes,1.0,5.33,0.471,5.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i have some issues so needs to move immediately what should i do 
1778009109,false,finalized,3,6/22/2018 21:50:31,Yes,1.0,5.67,0.943,5.67,0.943,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,please manage for me an immediate move 
1778009110,false,finalized,2,6/22/2018 21:48:52,Yes,1.0,5.5,0.5,6.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need to relocate immediately
1778009111,false,finalized,3,6/22/2018 21:39:20,Yes,1.0,5.33,0.471,5.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i want to buy a property as soon as possible
1778009112,false,finalized,3,6/22/2018 21:37:01,Yes,1.0,6.33,0.943,6.33,0.943,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need a property that is ready to live i must move as soon as possible
1778009113,false,finalized,3,6/22/2018 21:52:45,Yes,1.0,6.33,0.943,6.33,0.943,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,you are looking to move immediately
1778009114,false,finalized,3,6/22/2018 21:15:57,Yes,1.0,6.0,0.816,5.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,you are looking to move immediately
1778009115,false,finalized,3,6/22/2018 21:51:33,Yes,1.0,5.0,2.828,6.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,you are looking to move immediately
1778009116,false,finalized,3,6/22/2018 21:28:34,Yes,1.0,5.67,0.471,5.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,is it within the possibilities to move immediately after the purchase is finished 
1778009117,false,finalized,2,6/22/2018 21:50:31,Yes,1.0,6.0,1.0,6.0,1.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how long could it take to move to my newly purchased home 
1778009118,false,finalized,3,6/22/2018 21:49:53,Yes,1.0,5.33,0.471,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,is there any special requirement for trying to move immediately to my newly purchased home 
1778009119,false,finalized,3,6/22/2018 22:05:58,Yes,1.0,5.33,0.471,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i want to go immediately
1778009120,false,finalized,3,6/22/2018 21:48:01,Yes,1.0,5.33,0.471,5.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i want to move urgently
1778009121,false,finalized,3,6/22/2018 21:52:45,Yes,1.0,5.33,0.471,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how urgently i can move 
1778009122,false,finalized,2,6/22/2018 21:44:38,Yes,1.0,6.5,0.5,6.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can i move immediately 
1778009123,false,finalized,5,6/22/2018 21:37:08,Yes,1.0,5.6,0.8,5.4,1.356,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how long it takes for me to move immediately 
1778009124,false,finalized,3,6/22/2018 21:26:55,Yes,1.0,5.0,0.0,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,after sign those papers can i move immediately 
