,SPEECH,CLUSTER_ID,SCENARIO,TYPICAL_VECTOR,INTRACLUSTER_DISTANCE,IS_BAD_CLUSTER
3512,what is your policy regarding pets ,1,Your want to know if an apartment allows pet ,,0.474267131615,
2240,what is your policy on pets ,1,You want to know which neighborhoods the real estate agent covers,,0.474267131615,
30,what is your charge fee ,1,You want to know how much a real estate agent charge,,0.474267131615,
3083,what is your subletting policy ,1,You want to know the subletting policy ,,0.474267131615,
32,if i buy this building what is your fee ,1,You want to know how much a real estate agent charge,,0.474267131615,
678,what is your policy on pets ,1,You want to know how your credit score affects home buying,,0.474267131615,
3506,what is your policy on bringing pets to this apartment ,1,Your want to know if an apartment allows pet ,,0.474267131615,
3319,what is your policy on pets ,1,You are looking to move in the next two year,,0.474267131615,
3560,what is your policy on pets ,1,Your want to know if an apartment allows pet ,,0.474267131615,
3053,what is your policy about subletting this place ,1,You want to know the subletting policy ,,0.474267131615,
2388,what is your best service ,1,You want to know what service the real estate agent provides,,0.474267131615,
1664,what is your policy on pets ,1,You want to know how many homes you should view before making a decision,*,0.474267131615,
3092,what is your policy on pets ,1,You want to know the subletting policy ,,0.474267131615,
3093,what is your subletting policy ,1,You want to know the subletting policy ,,0.474267131615,
70,what is your commission ,1,You want to know how much a real estate agent charge,,0.474267131615,
2743,what is your policy on pets ,1,You want to know how safe the neighborhood is,,0.474267131615,
3090,what is your policy on pets ,1,You want to know the subletting policy ,,0.474267131615,
3117,how is your sublease policy ,1,You want to know the subletting policy ,,0.474267131615,
1630,is your supply of houses abundant ,1,You want to know how many homes you should view before making a decision,,0.474267131615,
571,what is your policy on pets ,1,You want to know what the first step to buying a home is,,0.474267131615,
6,what is your fee ,1,You want to know how much a real estate agent charge,,0.474267131615,
1015,what is your budget ,1,Your budget is around 500K ,,0.474267131615,
3576,what is your animal policy,1,Your want to know if an apartment allows pet ,,0.474267131615,
3573,what is your policy on pets ,1,Your want to know if an apartment allows pet ,,0.474267131615,
3572,what is your policy to accept pets ,1,Your want to know if an apartment allows pet ,,0.474267131615,
2730,i want to know how safe the neighborhood is,2,You want to know how safe the neighborhood is,,0.213677178522,
2690,how safe is this neighborhood ,2,You want to know how safe the neighborhood is,,0.213677178522,
2671,how can i know how safe this neighborhood is ,2,You want to know how safe the neighborhood is,,0.213677178522,
2666,it is safe to live there ,2,You want to know how safe the neighborhood is,,0.213677178522,
2683,the neighborhood is safe ,2,You want to know how safe the neighborhood is,,0.213677178522,
2644,can i know how safe the neighborhood is ,2,You want to know how safe the neighborhood is,,0.213677178522,
2693,how safe is the area at night ,2,You want to know how safe the neighborhood is,,0.213677178522,
2698,am i safe in this locality,2,You want to know how safe the neighborhood is,,0.213677178522,
2656,are these streets safe ,2,You want to know how safe the neighborhood is,,0.213677178522,
2645,where i know how safe the neighborhood is ,2,You want to know how safe the neighborhood is,,0.213677178522,
2228,the area is safe,2,You want to know which neighborhoods the real estate agent covers,,0.213677178522,
2704,is the neighborhood considered safe ,2,You want to know how safe the neighborhood is,,0.213677178522,
2643,i want to know how safe the neighborhood is ,2,You want to know how safe the neighborhood is,,0.213677178522,
2655,is this a safe neighborhood ,2,You want to know how safe the neighborhood is,,0.213677178522,
2682,how safe is the neighborhood ,2,You want to know how safe the neighborhood is,,0.213677178522,
2738,is it a safe area ,2,You want to know how safe the neighborhood is,,0.213677178522,
2706,safe the neighborhood is,2,You want to know how safe the neighborhood is,,0.213677178522,
2748,could you please tell me if the neighborhood is safe ,2,You want to know how safe the neighborhood is,,0.213677178522,
2145,it is safe ,2,You want to live in Neighborhood A,,0.213677178522,
2745,people in the neighborhood ,2,You want to know how safe the neighborhood is,,0.213677178522,
2705,is safety guaranteed in the neighborhood ,2,You want to know how safe the neighborhood is,,0.213677178522,
1386,the residence is safe ,2,You are looking for a single family home,,0.213677178522,
2664,the neighborhood is safe ,2,You want to know how safe the neighborhood is,,0.213677178522,
3461,is parking safe ,2,You want to know the parking situation of the apartment,,0.213677178522,
2652,is this a safe neighborhood ,2,You want to know how safe the neighborhood is,,0.213677178522,
2727,i want to know how safe the neighborhood is ,2,You want to know how safe the neighborhood is,,0.213677178522,
2128,how is life in the neighborhood ,2,You want to live in Neighborhood A,,0.213677178522,
2711,is neighborhood safe ,2,You want to know how safe the neighborhood is,,0.213677178522,
2733,is this neighborhood safe ,2,You want to know how safe the neighborhood is,,0.213677178522,
3422,it is safe,2,You want to know the parking situation of the apartment,,0.213677178522,
2674,you want to know how safe the neighborhood is,2,You want to know how safe the neighborhood is,,0.213677178522,
2659,is it a safe neighborhood ,2,You want to know how safe the neighborhood is,,0.213677178522,
2717,how safe is the neighborhood,2,You want to know how safe the neighborhood is,,0.213677178522,
2686,is the neighborhood safe for leaving children alone ,2,You want to know how safe the neighborhood is,,0.213677178522,
3467,it is safe ,2,You want to know the parking situation of the apartment,,0.213677178522,
2661,i want to know how safe the neighborhood is ,2,You want to know how safe the neighborhood is,,0.213677178522,
2685,is the neighborhood safe at night ,2,You want to know how safe the neighborhood is,,0.213677178522,
2731,what is the security that offers how safe is the neighborhood,2,You want to know how safe the neighborhood is,,0.213677178522,
586,is the area safe ,2,You want to know what the first step to buying a home is,,0.213677178522,
2673,you want to know how safe the neighborhood is,2,You want to know how safe the neighborhood is,,0.213677178522,
2684,the neighborhood is safe to my kids play in the backyard at night ,2,You want to know how safe the neighborhood is,,0.213677178522,
2127,is the neighborhood safe ,2,You want to live in Neighborhood A,,0.213677178522,
2701,how safe is it to live here ,2,You want to know how safe the neighborhood is,,0.213677178522,
2757,is this neighborhood safe,2,You want to know how safe the neighborhood is,,0.213677178522,
2750,how safe is the neighborhood ,2,You want to know how safe the neighborhood is,,0.213677178522,
2688,can you let me know how safe the neighborhood is ,2,You want to know how safe the neighborhood is,,0.213677178522,
2754,is the neighborhood safe ,2,You want to know how safe the neighborhood is,,0.213677178522,
2715,is the neighborhood safe,2,You want to know how safe the neighborhood is,*,0.213677178522,
2700,is this a safe neighborhood ,2,You want to know how safe the neighborhood is,,0.213677178522,
2670,how safe is this neighborhood ,2,You want to know how safe the neighborhood is,,0.213677178522,
2712,is this neighborhood safe ,2,You want to know how safe the neighborhood is,,0.213677178522,
2679,how safe is neighborhood ,2,You want to know how safe the neighborhood is,,0.213677178522,
2675,you want to know how safe the neighborhood is,2,You want to know how safe the neighborhood is,,0.213677178522,
2741,have ever been robbed in the neighborhood,2,You want to know how safe the neighborhood is,,0.213677178522,
3016,how much is the tax if i decide to sublet ,3,You want to know the subletting policy ,,0.30575267262,
1248,how much is the deposit ,3,You want to know how much deposit will be,,0.30575267262,
1896,how much is the minimum credit to buy,3,You want to know how much credit score you need to buy a home,,0.30575267262,
1897,how much is the maximum credit to buy,3,You want to know how much credit score you need to buy a home,,0.30575267262,
1889, how much is the minimum percentage to pay the initial ,3,You want to know how much credit score you need to buy a home,,0.30575267262,
2972,how much is the rent per month ,3,You want a real estate agent to repeat what they just said,,0.30575267262,
1948,how much is the department ,3,You want to know how big the apartment is,,0.30575267262,
1739,how much is a condo ,3,You are looking for a condo,,0.30575267262,
1266,wants to know how much is the deposit ,3,You want to know how much deposit will be,,0.30575267262,
2841,how much is the minimum i can pay ,3,You want to know how much your down payment should be,,0.30575267262,
1957,how much is the apartment ,3,You want to know how big the apartment is,,0.30575267262,
3409,how much is the parking space of this ,3,You want to know the parking situation of the apartment,,0.30575267262,
1274,how much is the deposit ,3,You want to know how much deposit will be,,0.30575267262,
3048,how much is the deposit in my apartment ,3,You want to know the subletting policy ,,0.30575267262,
3049,how much is this apartment rented ,3,You want to know the subletting policy ,,0.30575267262,
3037,how much is the cost for the policy,3,You want to know the subletting policy ,,0.30575267262,
3431,how much is the security of the parking,3,You want to know the parking situation of the apartment,,0.30575267262,
1278,how much is the deposit ,3,You want to know how much deposit will be,,0.30575267262,
1280,i want to know how much is the deposit,3,You want to know how much deposit will be,,0.30575267262,
1281,how much deposits is the deposit,3,You want to know how much deposit will be,,0.30575267262,
2833,how much is the monthly payment,3,You want to know how much your down payment should be,,0.30575267262,
223,how much is the rent per month ,3,You want to know what happens during closing process,,0.30575267262,
1257,how much is the deposit ,3,You want to know how much deposit will be,,0.30575267262,
2829,how much is the deposit for this house ,3,You want to know how much your down payment should be,,0.30575267262,
2851,how much is the initial of the property ,3,You want to know how much your down payment should be,,0.30575267262,
2853,how much is the initial payment of the purchase ,3,You want to know how much your down payment should be,,0.30575267262,
1922,how much is the size of the apartment ,3,You want to know how big the apartment is,,0.30575267262,
1255,is there a deposit and how much is it ,3,You want to know how much deposit will be,,0.30575267262,
2826,how much is the payment,3,You want to know how much your down payment should be,,0.30575267262,
1254,how much is the deposit ,3,You want to know how much deposit will be,,0.30575267262,
1252,how much is the deposit ,3,You want to know how much deposit will be,,0.30575267262,
2823, how much is the down payment ,3,You want to know how much your down payment should be,,0.30575267262,
2855,how much is the amount established for the initial payment of the purchase ,3,You want to know how much your down payment should be,,0.30575267262,
1702,how much is your condo ,3,You are looking for a condo,,0.30575267262,
1291,how much fee ,3,You want to know how much deposit will be,,0.30575267262,
1293,how much is the deposit for that property ,3,You want to know how much deposit will be,,0.30575267262,
1869,how much is the percentage of my law for economic deficit ,3,You want to know how much credit score you need to buy a home,,0.30575267262,
2838,how much is the rent per month ,3,You want to know how much your down payment should be,,0.30575267262,
1028,how much is the maximum of your budget is 500 ,3,Your budget is around 500K ,,0.30575267262,
2744,how much is the rent per month ,3,You want to know how safe the neighborhood is,,0.30575267262,
3154,how much ,3,You are looking to buy an affordable home,,0.30575267262,
1045,how much is the monthly fees ,3,Your budget is around 500K ,,0.30575267262,
19,how much is the amount ,3,You want to know how much a real estate agent charge,,0.30575267262,
37,how much is your cut ,3,You want to know how much a real estate agent charge,,0.30575267262,
1764,how much is the monthly associates fees ,3,You are looking for a condo,,0.30575267262,
1662,how much is the rent per month ,3,You want to know how many homes you should view before making a decision,,0.30575267262,
1239,how much is the deposit ,3,You want to know how much deposit will be,,0.30575267262,
3280,how much is price ,3,You are looking to move in the next two year,,0.30575267262,
343,how much is the rent per month ,3,You are looking to move immediately,,0.30575267262,
2071,how much ,3,You want to live in Neighborhood A,,0.30575267262,
2879,how much is the minimum initial ,3,You want to know how much your down payment should be,,0.30575267262,
1230,how much is the deposit ,3,You want to know how much deposit will be,,0.30575267262,
1213,how much is the deposit,3,You want to know how much deposit will be,,0.30575267262,
2074,how much ,3,You want to live in Neighborhood A,,0.30575267262,
2877,how much is the initial fee ,3,You want to know how much your down payment should be,,0.30575267262,
2360,how much is the rent per month ,3,You want to know what service the real estate agent provides,,0.30575267262,
1216,how large is the deposit ,3,You want to know how much deposit will be,,0.30575267262,
78,how much is your commission for home ,3,You want to know how much a real estate agent charge,,0.30575267262,
1168,how much is the final payment price ,3,"You want to know about other fees, beside downpayment",,0.30575267262,
1197,how much is the initial fee that must be paid ,3,"You want to know about other fees, beside downpayment",,0.30575267262,
2817,how much is the minimum that i have to pay ,3,You want to know how much your down payment should be,,0.30575267262,
2772,how much is the down payment ,3,You want to know how much your down payment should be,,0.30575267262,
1711,how much ,3,You are looking for a condo,,0.30575267262,
2865,how much is the down payment ,3,You want to know how much your down payment should be,,0.30575267262,
994,how much ,3,Your budget is around 500K ,,0.30575267262,
3503,how much is the rent ,3,Your want to know if an apartment allows pet ,,0.30575267262,
2870,how much is the minimum to pay ,3,You want to know how much your down payment should be,,0.30575267262,
1147,how much is the cost of light water services ,3,"You want to know about other fees, beside downpayment",,0.30575267262,
1148,how much is the recharge if i am late in the payment ,3,"You want to know about other fees, beside downpayment",,0.30575267262,
1626,how much is cost,3,You want to know how many homes you should view before making a decision,,0.30575267262,
1209,how much is the deposit ,3,You want to know how much deposit will be,*,0.30575267262,
1714,how much ,3,You are looking for a condo,,0.30575267262,
2814,how much is the down payment,3,You want to know how much your down payment should be,,0.30575267262,
