UTTERANCE,SCENARIO,FLAB_BAD_CONTENT
how many square feet does the apartment have ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
how big is the apartment ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
how much is the size of the apartment ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
i have no idea,you want to know how big the apartment is,ACCEPTABLE_CONTENT
i have no idea,you want to know how big the apartment is,ACCEPTABLE_CONTENT
i have no idea,you want to know how big the apartment is,ACCEPTABLE_CONTENT
how many kitchens the apartment have ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
does it have 2 bathrooms ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
does it have 3 bedrooms ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
the apartment is big ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
what are the dimensions of the apartment ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
what is the total area of the apartment ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
hello would you tell me the specific dimentions for the apartment,you want to know how big the apartment is,ACCEPTABLE_CONTENT
hello can you tell me the estimated size of the apartment ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
what are the dimentions of the apartment in meters ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
what are the measures of this department ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
excuse me what size does this department have ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
how many rooms and bathrooms does this department have ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
measures of the apartment,you want to know how big the apartment is,ACCEPTABLE_CONTENT
the apartment is spacious,you want to know how big the apartment is,ACCEPTABLE_CONTENT
i can have many things in the apartment,you want to know how big the apartment is,ACCEPTABLE_CONTENT
tell me how big the apartment is ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
is a cafe near ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
is my cat allowed ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
how big is the apartment ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
what is the size of the apartment ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
could you tell me the floor area of the apartment ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
how big is the department ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
how much is the department ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
how big is the department,you want to know how big the apartment is,ACCEPTABLE_CONTENT
what are the dimensions of the apartment ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
i need a spacious apartment how big is it ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
is the apartment spacious ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
the apartment is spacious ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
how much is the apartment ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
how many rooms does the apartment have ,you want to know how big the apartment is,ACCEPTABLE_CONTENT
