UTTERANCE,SCENARIO,ANNOTATION_USER,ANNOTATION_SYSTEM,AGENT_TEMPLATE_UTTERANCE
how many bedrooms are available,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
how much to buy the home,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
how much credit do i need,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
the neighborhood is safe,customer wants to know how safe the neighborhood is,REQUEST(neighborhood_safety),OFFER_SLOT_VALUE(neighborhood_safety=low crime),Neighborhood safety is low crime
what is the price of the apartment,"customer wants to know about other fees, beside downpayment",REQUEST(fee),OFFER_SLOT_VALUE(fee=trash_fee),Fee includes trash fee
can u help me find a single family home,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
what is the next thing after the closing process,customer wants to know what happens during closing process,FAQ(info=closing_process),"ANSWER(info = {sign legal documents,home inspe...","sign legal documents,home inspection,pay trans..."
my initial payment is too high,customer wants to know how much customerr down payment should be,FAQ(info=amount_of_down_payment),ANSWER(info=minimal 3.5% down payment),minimal 3.5% down payment
i want to move urgently,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
what is the price of the apartment,customer wants to know how much a real estate agent charge,FAQ(info=typical_charge_amount),ANSWER(info=2% to 3% of the sales price),2% to 3% of the sales price
when do we meet again,customer wants to know what happens during closing process,FAQ(info=closing_process),"ANSWER(info = {sign legal documents,home inspe...","sign legal documents,home inspection,pay trans..."
does the building have entertainment areas,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
where i can want to know what service the real estate agent provides,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
what are the measures of the apartment,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
none of above,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
which neighborhoods do you work with,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
is parking safe,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
i don t want a multifamily home,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
is the credit score very important when paying for a home,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
are you prepared to spend approximately the next 30 minutes answering a high quality questionnaire acknowledging that you may not be eligible to participate in the questionnaire due to certain exclusion criteria,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
que lugares ofrece para un apartamento,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
i want to know what the first step to buying a home is,customer wants to know what the first step to buying a home is,FAQ(info=first_step_to_purchase),ANSWER(info=getting pre-approved for a mortgage),first step is to get pre-approved for a mortgage
